report_number,categories,primary_category,confidence,ai_specific
2029046-2023-02056,"B,E",B,high,True
2029046-2023-02058,"B,C",B,high,True
2029046-2023-02094,"B,C",B,high,True
2029046-2023-02095,"B,C,G",B,medium,True
2029046-2023-02127,F,F,high,False
2029046-2023-02144,E,E,medium,False
2029046-2023-02167,"B,C",B,high,True
2029046-2023-02180,"B,G",B,medium,True
2029046-2023-02196,"D,U",D,medium,False
2029046-2023-02238,"B,C",B,high,True
2029046-2023-02239,B,B,high,True
2029046-2023-02240,"B,D",B,medium,True
2029046-2023-02246,"F,G",F,medium,False
2029046-2023-02276,"B,C,G",B,high,True
2029046-2023-02345,F,F,high,False
2029046-2023-02363,"D,G",D,medium,False
2029046-2023-02397,B,B,medium,True
2029046-2023-02396,"B,C,G",B,high,True
2029046-2023-02433,"F,G",F,high,False
2029046-2023-02434,"B,D",B,medium,True
2029046-2023-02439,"B,D,G",B,high,True
2029046-2023-02467,B,B,medium,True
2029046-2023-02542,"F,G",F,high,False
2029046-2023-02543,D,D,medium,False
2029046-2023-02558,"B,C",B,medium,True
2029046-2023-02656,"F,G",F,high,False
2029046-2023-02751,"B,D",B,high,True
2029046-2023-02755,"B,D",B,medium,True
2029046-2023-02773,"B,C",B,high,True
2029046-2023-02799,B,B,high,True
2029046-2023-02849,"B,D",B,high,True
2029046-2023-02878,"B,C",B,high,True
2029046-2023-02951,"B,C",B,medium,True
2029046-2023-02959,"A,E",E,medium,False
3007208829-2023-00168,"B,G",B,high,True
2029046-2023-02970,D,D,medium,True
3007208829-2023-00198,"B,G",B,high,True
2029046-2023-03000,"F,G",F,high,False
2029046-2023-03059,"D,G",D,high,True
2029046-2023-03079,"B,D",B,medium,True
3007208829-2023-00224,"B,G",B,high,True
2029046-2024-00107,"D,B",D,medium,True
2029046-2024-00133,"B,E",B,high,True
2029046-2024-00145,F,F,high,False
2029046-2024-00242,D,D,medium,True
3007208829-2024-00024,"B,G",B,high,True
3007208829-2024-00056,"B,G",B,high,True
3007208829-2024-00062,"B,C,G",B,high,True
2029046-2024-00410,"B,C",B,high,True
3007208829-2024-00047,"B,G",B,high,True
2029046-2024-00450,F,F,medium,False
2029046-2024-00521,"F,D",F,high,False
2029046-2024-00531,"B,D",B,high,True
2029046-2024-00542,U,U,high,False
2029046-2024-00598,"B,C",B,high,True
2029046-2024-00606,E,E,medium,False
2029046-2024-00704,"B,G",B,medium,True
2029046-2024-00752,"B,G",B,medium,True
3007208829-2024-00101,B,B,high,True
3007208829-2024-00102,"B,C",B,high,True
3007208829-2024-00106,"B,C",B,high,True
2029046-2024-00833,"D,B",D,high,True
2029046-2024-00904,"B,E",B,high,True
2029046-2024-00908,"B,C",B,high,True
2029046-2024-00918,"B,E",B,high,True
3007208829-2024-00132,"B,C",B,high,True
3007208829-2024-00138,"B,C,G",B,high,True
2029046-2024-01071,D,D,medium,True
2029046-2024-01078,"F,D",F,high,False
2029046-2024-01112,"B,G",B,high,True
3007208829-2024-00156,"B,C",B,high,True
2029046-2024-01143,D,D,high,True
2029046-2024-01178,E,E,medium,False
3007208829-2024-00170,"B,C",B,high,True
2029046-2024-01195,"F,D",F,medium,False
2029046-2024-01234,"D,B",D,high,True
2029046-2024-01264,"D,G",D,medium,False
2029046-2024-01276,"B,G",B,medium,True
3007208829-2024-00182,"B,C",B,high,True
2029046-2024-01326,B,B,high,True
2029046-2024-01393,"F,G,D",F,high,False
2029046-2024-01400,"B,C",B,high,True
2029046-2024-01447,U,U,high,False
3007208829-2024-00204,"B,C,G",B,high,True
2029046-2024-01522,F,F,high,False
2029046-2024-01545,"B,E",B,high,True
2029046-2024-01548,E,E,medium,False
2029046-2024-01555,"F,G",F,high,False
2029046-2024-01557,"B,D",B,high,True
2029046-2024-01579,"B,E",B,medium,True
2029046-2024-01584,F,F,medium,False
2029046-2024-01590,"F,B,G",B,high,True
2029046-2024-01645,"D,B",D,medium,True
2029046-2024-01665,"D,E",D,medium,False
2029046-2024-01702,"B,G",B,medium,True
2029046-2024-01797,E,E,medium,False
2029046-2024-01798,"B,C",B,medium,True
2029046-2024-01820,"A,D",A,high,False
2029046-2024-01868,D,D,high,False
2029046-2024-01883,"D,B",D,high,False
2029046-2024-01885,"A,F",A,high,False
2029046-2024-01907,"B,C",B,high,True
2029046-2024-01953,F,F,high,False
3007208829-2024-00300,"B,C,G",B,high,True
2029046-2024-02044,"B,C",B,high,True
3007208829-2024-00340,"B,C,G",B,high,True
2029046-2024-02256,F,F,high,False
2029046-2024-02398,"D,G",D,high,True
3007208829-2024-00413,"B,C,G",B,high,True
2029046-2024-02613,"F,G",F,high,False
2029046-2024-02635,"D,G",D,high,True
2029046-2024-02663,"B,D",B,high,True
2029046-2024-02717,"D,G",D,medium,False
3007208829-2024-00422,"B,C,G",B,high,True
2029046-2024-02753,"B,D",B,high,True
2029046-2024-02735,"B,D",B,high,True
2029046-2024-02795,"B,G",B,medium,True
2029046-2024-02809,"D,E",D,medium,False
2029046-2024-02836,"D,B",D,medium,True
MW5158852,G,G,high,False
MW5158951,G,G,high,False
2029046-2024-02915,"B,G",B,high,True
2029046-2024-03000,"B,D",B,high,True
2029046-2024-03020,"B,G",B,high,True
2029046-2024-03092,"F,G",F,medium,False
2029046-2024-03100,"B,C",B,high,True
2029046-2024-03143,"D,G",D,high,False
2029046-2024-03180,"D,G",D,high,True
2029046-2024-03225,"B,E",B,high,True
MW5160662,G,G,medium,False
2029046-2024-03301,"B,G",B,high,True
2029046-2024-03316,B,B,medium,True
2029046-2024-03405,"B,D,G",B,high,True
2029046-2024-03420,"B,C",B,high,True
2029046-2024-03434,"B,C",B,high,True
2029046-2024-03458,D,D,high,False
2029046-2024-03487,"B,C",B,high,True
2029046-2024-03609,"D,B",D,high,True
2029046-2024-03623,"B,G",B,high,True
2029046-2024-03628,D,D,medium,False
2029046-2024-03661,D,D,high,True
2029046-2024-03614,"F,G",F,high,False
2029046-2024-03701,"B,C",B,high,True
2029046-2024-03775,"B,C",B,high,True
2029046-2024-03785,F,F,high,False
2029046-2024-03795,"B,E",B,high,True
2029046-2024-03800,"B,G",B,high,True
2029046-2024-03823,"B,C,G",B,high,True
2029046-2024-03853,"B,C",B,high,True
2029046-2024-03860,"D,B",D,high,True
2029046-2024-03890,"F,G",F,high,False
2029046-2024-03954,F,F,high,False
MW5163539,"E,F",E,high,False
2029046-2024-04011,"B,C",B,high,True
2029046-2024-04065,"B,D",B,high,True
2029046-2024-04073,"B,G",B,high,True
2029046-2024-04074,"A,B,G",B,high,True
2029046-2024-04091,F,F,medium,False
2029046-2024-04102,U,U,high,False
2029046-2024-04115,G,G,high,False
2029046-2024-04130,"B,C",B,high,True
2029046-2024-04143,"B,D,G",B,high,True
2029046-2024-04176,"B,E",B,medium,True
2029046-2025-00098,F,F,high,False
2029046-2025-00180,"B,C",B,high,True
2029046-2025-00185,"B,C",B,high,True
2029046-2025-00193,"D,G",D,high,False
2029046-2025-00222,U,U,high,False
2029046-2025-00224,"B,C",B,high,True
2029046-2025-00365,"F,G",F,high,False
2029046-2025-00468,"F,G",F,high,False
2029046-2025-00498,"F,G",F,medium,False
2029046-2025-00501,F,F,medium,False
2029046-2025-00513,F,F,high,False
2029046-2025-00514,"F,G",F,high,False
2029046-2025-00572,"A,B,E",B,medium,True
2029046-2025-00596,E,E,medium,False
2029046-2025-00608,"D,B",D,medium,True
2029046-2025-00662,"F,G",F,high,False
2029046-2025-00665,U,U,high,False
2029046-2025-00734,"B,G",B,high,True
2029046-2025-00747,"F,E",F,high,False
2029046-2025-00808,"B,D",B,high,True
2029046-2025-00897,"D,B",D,high,True
2029046-2025-00912,U,U,high,False
2029046-2025-00944,F,F,medium,False
2029046-2025-00951,"D,G",D,high,True
2029046-2025-00952,F,F,medium,False
2029046-2025-00990,"F,E",F,medium,False
2029046-2025-00994,"A,F,G",A,high,False
2029046-2025-01026,"D,B",D,high,True
2029046-2025-01028,"B,G",B,medium,True
3018490434-2025-00002,U,U,high,False
MW5168817,"F,G",F,high,False
2029046-2025-01119,F,F,high,False
2029046-2025-01454,"F,G",F,high,False
2029046-2025-01518,F,F,medium,False
2029046-2025-01519,F,F,high,False
2029046-2025-01530,"F,G",F,high,False
2029046-2025-01544,"E,G",E,medium,False
2029046-2025-01642,F,F,high,False
2029046-2025-01661,"B,C",B,high,True
2029046-2025-01691,"B,C",B,medium,True
2029046-2025-01700,"F,G",F,high,False
22123755,F,F,high,False
2029046-2025-01938,"B,G",B,high,True
2029046-2025-01993,"F,G",F,high,False
2029046-2025-01997,"B,D",B,high,True
2029046-2025-02022,D,D,medium,False
2029046-2025-02035,F,F,medium,False
MW5171890,F,F,high,False
2029046-2025-02199,"B,G",B,medium,True
2029046-2025-02308,F,F,high,False
2029046-2025-02379,"B,F",B,high,True
2029046-2025-02405,"F,D",F,medium,False
2029046-2025-02536,D,D,high,False
2029046-2025-02538,E,E,medium,False
2029046-2025-02606,"B,D",B,high,True
2029046-2025-02834,"B,C",B,high,True
2029046-2025-02877,"B,G",B,high,True
2029046-2025-03138,"B,G",B,high,True
2029046-2025-03155,"B,G",B,high,True
2029046-2025-03156,"B,D",B,high,True
2029046-2025-03225,"F,E",F,high,False
2029046-2025-03266,B,B,medium,True
23142573,"B,G",B,high,True
2029046-2025-03401,F,F,high,False
2029046-2025-03411,"B,G",B,medium,True
2029046-2025-03430,"B,C",B,high,True
2029046-2025-03441,D,D,medium,True
2029046-2025-03452,"D,E",D,high,True
MW5177525,"G,F",F,high,False
2029046-2025-03536,E,E,medium,False
2029046-2025-03604,"B,C",B,high,True
2029046-2025-03609,"B,D",B,high,True
2029046-2025-03669,U,U,high,False
2029046-2025-03710,D,D,medium,True
2029046-2025-03738,U,U,high,False
2029046-2025-03739,D,D,medium,False
2029046-2025-03740,D,D,medium,False
2029046-2025-03741,E,E,medium,False
2029046-2025-03868,"A,F,G",A,high,False
2029046-2025-03870,F,F,medium,False
2029046-2025-03933,"B,C",B,high,True
2029046-2025-03952,"B,C",B,high,True
2029046-2025-04144,"B,D",B,high,True
2029046-2025-04264,F,F,medium,False
2029046-2025-04366,"A,B",A,high,False
2029046-2026-00116,U,U,high,False
2029046-2026-00120,"B,C",B,high,True
2029046-2026-00180,U,U,high,False
2029046-2026-00275,"B,D,G",B,high,True
2029046-2026-00287,"B,E",B,medium,True
2029046-2026-00383,U,U,high,False
2029046-2026-00391,U,U,high,False
2029046-2026-00458,D,D,medium,False
2029046-2026-00464,U,U,high,False
2029046-2026-00643,"B,G",B,medium,True
2029046-2026-00650,U,U,high,False
2029046-2026-00714,U,U,high,False
MW5184795,G,G,high,False
24686664,F,F,high,False
2029046-2026-00980,U,U,high,False
2029046-2026-01004,U,U,high,False
3007208829-2026-00122,"G,D",D,high,False
2029046-2026-01118,U,U,high,False
MW5186570,U,U,high,False
2029046-2026-01167,U,U,high,False
2029046-2026-01208,U,U,high,False
2029046-2026-01298,U,U,high,False
2029046-2026-01404,U,U,high,False
2029046-2020-00095,"E,F",E,medium,False
2029046-2020-00166,"B,G",B,high,True
2029046-2020-00186,"B,C",B,medium,True
2029046-2020-00280,"B,D",B,high,True
2029046-2020-00337,"B,C",B,high,True
2029046-2020-00351,"F,C",F,high,False
2029046-2020-00357,"B,C",B,high,True
2029046-2020-00358,"B,D,G",B,high,True
2029046-2020-00469,"B,C",B,high,True
2029046-2020-00475,"B,G",B,high,True
2029046-2020-00521,F,F,high,False
2029046-2020-00529,"B,C",B,high,True
2029046-2020-00537,"B,C",B,high,True
2029046-2020-00541,"D,E",D,high,False
MW5113096,"D,F",D,high,False
MW5118776,"D,C",D,medium,False
MW5118777,"D,C",D,medium,False
MW5106952,"F,G",F,high,False
1061932-2020-00057,F,F,high,False
1061932-2020-00058,F,F,high,False
1061932-2020-00059,F,F,high,False
1061932-2020-00060,F,F,high,False
1061932-2020-00061,"F,B,G",B,high,False
1061932-2020-00062,F,F,high,False
1061932-2020-00063,"B,F",B,high,False
1061932-2020-00064,F,F,high,False
1061932-2020-00065,F,F,high,False
1061932-2020-00068,F,F,high,False
1061932-2020-00067,F,F,high,False
1061932-2020-00066,B,B,medium,True
1061932-2020-00069,F,F,high,False
1061932-2020-00070,B,B,high,False
1061932-2020-00072,F,F,high,False
1061932-2020-00071,F,F,high,False
1061932-2020-00073,F,F,high,False
1061932-2020-00075,F,F,high,False
1061932-2020-00074,F,F,high,False
1061932-2020-00076,"A,B",B,medium,False
1061932-2020-00083,F,F,high,False
1061932-2020-00082,E,E,medium,False
1061932-2020-00081,F,F,high,False
1061932-2020-00084,F,F,high,False
1061932-2020-00085,F,F,high,False
1061932-2020-00086,F,F,high,False
1061932-2020-00089,F,F,high,False
1061932-2020-00090,F,F,high,False
1061932-2020-00091,F,F,high,False
1061932-2020-00092,"B,G",B,high,True
1061932-2020-00093,"A,B,G",B,high,True
1061932-2020-00094,F,F,high,False
1061932-2020-00095,F,F,high,False
1061932-2020-00096,F,F,high,False
1061932-2020-00097,F,F,high,False
1061932-2020-00098,F,F,high,False
1061932-2020-00099,F,F,high,False
1061932-2020-00100,F,F,high,False
1061932-2020-00101,F,F,high,False
1061932-2020-00102,B,B,high,False
1061932-2020-00103,F,F,high,False
1061932-2020-00104,F,F,high,False
1061932-2020-00105,F,F,high,False
1061932-2020-00106,F,F,high,False
1061932-2020-00107,F,F,high,False
1061932-2020-00108,F,F,high,False
1061932-2020-00109,F,F,high,False
1061932-2020-00111,"E,C",E,medium,False
1061932-2020-00113,F,F,medium,False
1061932-2020-00114,F,F,high,False
1061932-2020-00115,F,F,high,False
1061932-2020-00116,F,F,high,False
1061932-2020-00117,"D,G",D,high,False
1061932-2020-00118,F,F,high,False
1061932-2020-00121,F,F,high,False
1061932-2020-00119,F,F,high,False
1061932-2020-00122,F,F,high,False
1061932-2020-00123,"A,F",A,medium,False
1061932-2020-00124,B,B,medium,False
1061932-2020-00125,F,F,high,False
1061932-2020-00127,F,F,high,False
1061932-2020-00126,F,F,high,False
1061932-2020-00128,F,F,high,False
1061932-2020-00129,F,F,high,False
1061932-2020-00130,"A,B",B,medium,False
1061932-2020-00131,"B,C",B,high,False
1061932-2020-00132,F,F,high,False
1061932-2020-00133,F,F,high,False
1061932-2020-00134,"B,G",B,medium,True
1061932-2020-00135,F,F,high,False
1061932-2020-00136,F,F,high,False
1061932-2020-00137,"B,G",B,high,False
1061932-2020-00139,F,F,high,False
1061932-2020-00140,F,F,high,False
1061932-2020-00138,F,F,high,False
1061932-2020-00141,B,B,high,False
1061932-2020-00142,F,F,high,False
1061932-2020-00143,F,F,high,False
1061932-2020-00144,D,D,high,False
1061932-2020-00145,D,D,high,False
1061932-2020-00150,F,F,medium,False
1061932-2020-00151,F,F,high,False
1061932-2020-00147,F,F,high,False
1061932-2020-00148,F,F,high,False
1061932-2020-00146,F,F,medium,False
1061932-2020-00149,F,F,high,False
1061932-2020-00152,F,F,high,False
1061932-2020-00153,F,F,medium,False
1061932-2020-00154,F,F,high,False
1061932-2020-00155,F,F,medium,False
1061932-2020-00156,F,F,high,False
1061932-2020-00157,F,F,high,False
1061932-2020-00158,"B,C",B,high,False
1061932-2020-00159,F,F,high,False
1061932-2020-00160,F,F,high,False
1061932-2020-00161,F,F,high,False
1061932-2020-00162,F,F,high,False
1061932-2020-00163,F,F,high,False
1061932-2020-00166,F,F,high,False
1061932-2020-00165,F,F,high,False
1061932-2020-00164,F,F,high,False
1061932-2020-00167,"D,G",D,high,False
1061932-2020-00168,"D,G",D,high,False
1061932-2020-00169,"B,C",B,high,False
1061932-2020-00170,F,F,high,False
1061932-2020-00171,"A,F",A,medium,False
1061932-2020-00172,F,F,high,False
1061932-2020-00173,F,F,high,False
1061932-2020-00174,F,F,high,False
1061932-2020-00175,"D,B",D,medium,False
1061932-2020-00176,"D,G",D,high,False
1061932-2020-00177,F,F,high,False
1061932-2020-00178,"B,C",B,high,True
1061932-2020-00180,"A,B",B,high,False
1061932-2020-00181,F,F,high,False
1061932-2020-00179,F,F,high,False
1061932-2020-00182,F,F,high,False
1061932-2020-00183,F,F,high,False
1061932-2020-00184,F,F,high,False
1061932-2021-00002,F,F,high,False
1061932-2021-00003,F,F,high,False
1061932-2021-00004,"A,E",A,medium,False
1061932-2021-00001,F,F,high,False
1061932-2021-00005,F,F,high,False
1061932-2021-00006,F,F,high,False
1061932-2021-00007,"B,C",B,high,False
1061932-2021-00008,F,F,high,False
1061932-2021-00009,F,F,high,False
1061932-2021-00011,F,F,high,False
1061932-2021-00010,F,F,high,False
1061932-2021-00012,F,F,high,False
1061932-2021-00013,F,F,high,False
1061932-2021-00014,F,F,high,False
1061932-2021-00015,F,F,high,False
1061932-2021-00016,F,F,high,False
1061932-2021-00017,F,F,high,False
1061932-2021-00021,"B,C,G",B,high,True
1061932-2021-00022,F,F,high,False
1061932-2021-00023,F,F,high,False
1061932-2021-00024,F,F,high,False
1061932-2021-00025,B,B,medium,False
1061932-2021-00026,F,F,high,False
1061932-2021-00027,F,F,high,False
1061932-2021-00029,F,F,high,False
1061932-2021-00030,U,U,high,False
1061932-2021-00032,F,F,high,False
1061932-2021-00033,F,F,high,False
1061932-2021-00034,F,F,high,False
1061932-2021-00035,F,F,high,False
1061932-2021-00036,"B,C",B,high,False
1061932-2021-00037,E,E,medium,False
1061932-2021-00038,F,F,high,False
1061932-2021-00039,F,F,high,False
1061932-2021-00040,F,F,medium,False
1061932-2021-00041,F,F,high,False
1061932-2021-00042,F,F,high,False
1061932-2021-00043,"B,C,G",B,high,True
1061932-2021-00044,F,F,high,False
1061932-2021-00045,"B,C,G",B,high,True
1061932-2021-00049,"B,G",B,high,True
1061932-2021-00051,F,F,high,False
1061932-2021-00053,"B,F",B,medium,False
1061932-2021-00052,F,F,high,False
1061932-2021-00054,F,F,high,False
1061932-2021-00055,F,F,high,False
